epoch,learning_rate,total_loss,classification_loss,open_space_loss,mean_reciprocal_distance,mean_true_class_margin,training_accuracy,validation_accuracy,validation_macro_f1
1,0.1,2.2883569868201885,2.2830149502496093,0.05342038089881765,0.6741566116313988,0.5628776393779036,0.21316328347578348,0.2662,0.19145461767679675
2,0.09997532801828658,2.2209569511250553,2.217155924549809,0.03801033041437297,1.0713901664117123,1.0621841734970396,0.33656071937321935,0.328,0.27841152190512836
3,0.09990133642141358,2.142297261121266,2.1366194965492964,0.05677766817757207,1.462947769042773,1.5428652169018389,0.36885683760683763,0.3504,0.25767088853867137
4,0.099778098230154,2.059699483746477,2.0515459806491165,0.08153504264830184,1.7008675669672821,1.891812540527083,0.3821670227920228,0.3898,0.29760487619943277
5,0.0996057350657239,1.9820113463958784,1.9718322359938227,0.10179110635549594,1.8594051694598293,2.145913768697668,0.40322293447293445,0.3794,0.2907951476717495
6,0.09938441702975688,1.9049278073161415,1.8924610088353824,0.12466795905957534,2.035647871487501,2.410521486885527,0.42223112535612534,0.4244,0.32091962660232126
7,0.09911436253643444,1.8309044797196348,1.8167185790178784,0.14185899154328213,2.230798498517767,2.695088889184501,0.4434873575498576,0.3856,0.28390100330107615
8,0.09879583809693737,1.7607284346197405,1.7445787150635679,0.16149723304812386,2.4419800440470376,2.99348437684214,0.4665687321937322,0.4524,0.38940593421583086
9,0.09842915805643156,1.694628636042277,1.6765550313851771,0.1807360648472085,2.6467606919443507,3.2854131918687086,0.5146456552706553,0.4602,0.40217163886371454
10,0.09801468428384716,1.6309864086303276,1.6115614315043827,0.19424976366028146,2.852301719181898,3.5692925419223274,0.5755653490028491,0.5862,0.5355358442919536
11,0.09755282581475769,1.57139877002803,1.5503663867287487,0.2103238213181156,3.0354054042077134,3.8334127511733618,0.6200810185185185,0.569,0.5350484190760039
12,0.09704403844771128,1.5119100839663775,1.489112792191682,0.22797292124936383,3.213760380731349,4.086663011811737,0.6556712962962963,0.6874,0.6592009855338453
13,0.09648882429441258,1.4558234500069904,1.4309155652326058,0.24907886952246697,3.3804718062408967,4.3256759575629165,0.6955128205128205,0.6294,0.6046128571281323
14,0.09588773128419906,1.4006972007262402,1.3743464973917034,0.2635070129677101,3.534690487418759,4.548235406902781,0.7197738603988604,0.7068,0.6790270236331705
15,0.09524135262330098,1.3505175195188603,1.3222266846572572,0.28290833876683164,3.6738233477981,4.7526543228714555,0.7360665954415955,0.7032,0.6845927367269675
16,0.0945503262094184,1.302965111881919,1.2733137098133054,0.29651402599281734,3.80788409200489,4.9511494351248455,0.7465500356125356,0.7264,0.7006681307752071
17,0.09381533400219319,1.2546323310276042,1.223748784119587,0.30883546479237384,3.9274402880600716,5.132567207358162,0.7597489316239316,0.7222,0.6988882405778825
18,0.0930371013501972,1.2187053838007131,1.186139743212621,0.3256564358530561,4.0322715903279445,5.2895970154351994,0.7656027421652422,0.6752,0.6440575731896299
19,0.09221639627510078,1.1831142284252025,1.149762714350665,0.3335151276272586,4.123445737735499,5.430128448029869,0.7741274928774928,0.7556,0.7367534240517879
20,0.09135402871372812,1.1545857731093707,1.1197670920621976,0.34818679051861123,4.19422397042951,5.539845939375397,0.7790019586894587,0.7552,0.7413563906859203
21,0.09045084971874741,1.1272153241342289,1.0924688305949892,0.34746493314236315,4.259788507749552,5.644954726227328,0.7848557692307693,0.7538,0.737917634738781
22,0.08950775061878455,1.1067464507882752,1.0708316924565198,0.35914758917612905,4.308325118149108,5.72741045911088,0.7892628205128205,0.754,0.7284758070705944
23,0.08852566213878948,1.0797889684340214,1.0444216014992478,0.35367362859242324,4.360453655916741,5.807462680034148,0.7969862891737892,0.7434,0.7273451765410871
24,0.087505553481523,1.066734649516918,1.0295486669255118,0.3718598245980054,4.395738324548444,5.870496077415271,0.7989449786324786,0.743,0.7347105624214271
25,0.0864484313710706,1.0484082761653128,1.0122335632981738,0.3617471144070313,4.431599933537323,5.92993958791097,0.8056891025641025,0.7584,0.7447825101672156
26,0.08535533905932739,1.034132067294542,0.998260021888972,0.3587204789334213,4.459738072506722,5.976534721178886,0.8108974358974359,0.7402,0.72207044590225
27,0.08422735529643445,1.0242913344986417,0.9878220765339343,0.3646925796895285,4.485794726260368,6.019446195020975,0.8138132122507122,0.7908,0.7792134299207849
28,0.08306559326618261,1.0116451177162322,0.9745258064011902,0.3711931199005187,4.507572713400903,6.0588208223000555,0.8206241096866097,0.758,0.7468588137843544
29,0.0818711994874345,1.0042865452943024,0.9672332597933604,0.3705328618656536,4.521173511135612,6.080619578347926,0.8331330128205128,0.8286,0.8264470205941924
30,0.08064535268264884,0.9898275593746761,0.9523436354096458,0.37483922890957944,4.5393396578623015,6.118579765330693,0.8394542378917379,0.7728,0.7572185510868173
