epoch,total_loss,classification_loss,alignment_loss,domain_loss,domain_accuracy,grl_strength,gradient_norm_before_clipping,photo_validation_accuracy,photo_validation_macro_f1,art_painting_validation_accuracy,art_painting_validation_macro_f1,cartoon_validation_accuracy,cartoon_validation_macro_f1,mean_source_validation_accuracy,mean_source_validation_macro_f1
1,0.502659250359903,0.502659250359903,0.0,0.0,0.0,0.0,12.136350393295288,0.9670658682634731,0.9612251925964677,0.7926829268292683,0.7848218370497096,0.9019189765458422,0.903527775381992,0.8872225905461946,0.8831916016760565
2,0.2422671659037154,0.2422671659037154,0.0,0.0,0.0,0.0,10.132578843705197,0.9730538922155688,0.9680011944153311,0.9073170731707317,0.9060270355987298,0.929637526652452,0.9346530053672132,0.9366694973462509,0.9362270784604246
3,0.15854393483952006,0.15854393483952006,0.0,0.0,0.0,0.0,8.614044174995827,0.9610778443113772,0.9519102181686586,0.824390243902439,0.8179912518540516,0.8912579957356077,0.8840062850076974,0.8922420279831412,0.8846359183434692
4,0.12138988404383665,0.12138988404383665,0.0,0.0,0.0,0.0,7.929149839503968,0.9640718562874252,0.9561924115307574,0.8780487804878049,0.881527274771145,0.9232409381663113,0.9277352979468133,0.9217871916471805,0.9218183280829052
5,0.09408890238109768,0.09408890238109768,0.0,0.0,0.0,0.0,7.05693701531421,0.9640718562874252,0.9575069689761488,0.8634146341463415,0.864367078063467,0.9211087420042644,0.9274209936335657,0.9161984108126769,0.9164316802243939
6,0.08111426475094978,0.08111426475094978,0.0,0.0,0.0,0.0,6.68373486802299,0.9700598802395209,0.9651177303054324,0.9048780487804878,0.9041630161869686,0.9360341151385928,0.941937787637533,0.9369906813862006,0.9370728447099781
7,0.06772355850781868,0.06772355850781868,0.0,0.0,0.0,0.0,6.228684737216285,0.9700598802395209,0.9641572042302888,0.8317073170731707,0.8409500454360989,0.9360341151385928,0.9411272681093653,0.9126004374837615,0.9154115059252509
8,0.07806142377223024,0.07806142377223024,0.0,0.0,0.0,0.0,6.549433966345114,0.9580838323353293,0.9507034464831354,0.8951219512195122,0.8977867184210302,0.9466950959488273,0.9512885712970914,0.9333002931678895,0.9332595787337524
9,0.05255867494325356,0.05255867494325356,0.0,0.0,0.0,0.0,5.473053280948265,0.9520958083832335,0.9474045358595821,0.8,0.8003840258879097,0.9466950959488273,0.9508285958207666,0.8995969681106869,0.8995390525227528
10,0.04374506484084142,0.04374506484084142,0.0,0.0,0.0,0.0,4.803361886413706,0.9700598802395209,0.9686514788424694,0.9195121951219513,0.9161829088719846,0.9360341151385928,0.9406187484731596,0.9418687301666884,0.9418177120625378
11,0.049724329655811667,0.049724329655811667,0.0,0.0,0.0,0.0,5.169282554579463,0.9610778443113772,0.952662526068944,0.8585365853658536,0.8570663125501031,0.9381663113006397,0.9406760441618144,0.9192602469926235,0.9168016275936205
12,0.04834008008432178,0.04834008008432178,0.0,0.0,0.0,0.0,4.801524977478387,0.9700598802395209,0.9666021967918301,0.9048780487804878,0.9004161013833285,0.9530916844349681,0.9581039772915151,0.9426765378183256,0.9417074251555579
13,0.05282275569744957,0.05282275569744957,0.0,0.0,0.0,0.0,5.623825741990127,0.9640718562874252,0.9577575388822787,0.8658536585365854,0.8618006827059983,0.9232409381663113,0.923245084979292,0.917722150996774,0.9142677688558564
14,0.04187899843958367,0.04187899843958367,0.0,0.0,0.0,0.0,4.278370722496054,0.9491017964071856,0.9404022842754941,0.875609756097561,0.8693979493553055,0.9488272921108742,0.9538289991845643,0.9245129482052069,0.921209744271788
15,0.052515911207669984,0.052515911207669984,0.0,0.0,0.0,0.0,5.427553801187265,0.9580838323353293,0.9489073063985956,0.875609756097561,0.8721874418654318,0.9424307036247335,0.9458781414128828,0.9253747640192079,0.9223242965589701
