epoch,total_loss,classification_loss,mmd_loss,sam_perturbed_loss,gradient_norm,photo_validation_accuracy,photo_validation_macro_f1,art_painting_validation_accuracy,art_painting_validation_macro_f1,cartoon_validation_accuracy,cartoon_validation_macro_f1,mean_source_validation_accuracy,mean_source_validation_macro_f1,worst_source_validation_accuracy,worst_source_validation_macro_f1
1,1.3828449695668321,1.119604265594736,0.0,1.3828449695668321,4.668877165368262,0.9011976047904192,0.8832203640358068,0.7853658536585366,0.7890386496336053,0.8635394456289979,0.8692825579399927,0.8500343013593179,0.8471805238698016,0.7853658536585366,0.7890386496336053
2,0.569021594334156,0.3091771645431823,0.0,0.569021594334156,4.394794611727938,0.9520958083832335,0.9432450403566266,0.9073170731707317,0.9074460788789114,0.9424307036247335,0.9483678385623858,0.9339478617262329,0.9330196525993079,0.9073170731707317,0.9074460788789114
3,0.41861747208427874,0.19296766652309513,0.0,0.41861747208427874,3.557214000630886,0.9580838323353293,0.9488276947120442,0.8731707317073171,0.8771322723696464,0.9040511727078892,0.9083684267141103,0.9117685789168452,0.9114427979319336,0.8731707317073171,0.8771322723696464
4,0.3330384961151062,0.1390087244279207,0.0,0.3330384961151062,2.993956423059423,0.9670658682634731,0.9600499559354011,0.9073170731707317,0.9057530113620532,0.9445628997867804,0.9508076713814134,0.9396486137403284,0.9388702128929559,0.9073170731707317,0.9057530113620532
5,0.24138147889616643,0.08536703666830633,0.0,0.24138147889616643,2.249025940641444,0.9670658682634731,0.960102331530903,0.8951219512195122,0.8946172117636142,0.9424307036247335,0.9488492523345712,0.9348728410359062,0.9345229318763627,0.8951219512195122,0.8946172117636142
6,0.2187584966341866,0.06917991192733988,0.0,0.2187584966341866,2.0090109306764097,0.9820359281437125,0.9795126974971072,0.9097560975609756,0.9094553654208644,0.9445628997867804,0.9491478206172451,0.9454516418304896,0.9460386278450722,0.9097560975609756,0.9094553654208644
7,0.20313543140729692,0.05876101381838956,0.0,0.20313543140729692,1.8698212348083232,0.9670658682634731,0.9599200568766075,0.9048780487804878,0.9071230633559862,0.9616204690831557,0.9663970083833682,0.9445214620423722,0.9444800428719873,0.9048780487804878,0.9071230633559862
8,0.15809710196595878,0.04044096585600934,0.0,0.15809710196595878,1.4098595175020239,0.9700598802395209,0.9632207247225806,0.9341463414634147,0.9346841582063258,0.9552238805970149,0.9605355508942371,0.9531433674333168,0.9528134779410479,0.9341463414634147,0.9346841582063258
9,0.14090065236223187,0.030219552753384206,0.0,0.14090065236223187,1.1461348387630697,0.9700598802395209,0.9652101105428569,0.9024390243902439,0.8987702332064897,0.9573560767590619,0.96213197122291,0.9432849937962756,0.9420374383240855,0.9024390243902439,0.8987702332064897
10,0.1207447298148528,0.023902864878789145,0.0,0.1207447298148528,0.9396993035807254,0.9730538922155688,0.9672856973062001,0.9243902439024391,0.9237396394819708,0.9594882729211087,0.9643246058113168,0.9523108030130389,0.9517833141998292,0.9243902439024391,0.9237396394819708
11,0.1224798939884343,0.02134852960453111,0.0,0.1224798939884343,0.9462482307185518,0.9820359281437125,0.9780462171474914,0.9170731707317074,0.9122126795009783,0.9616204690831557,0.9665783576658666,0.9535765226528586,0.9522790847714454,0.9170731707317074,0.9122126795009783
12,0.11386600239400534,0.019800020948744706,0.0,0.11386600239400534,0.8759397635711952,0.9760479041916168,0.9721313520792715,0.8951219512195122,0.8946275382210457,0.9530916844349681,0.956590641283216,0.9414205132820324,0.9411165105278444,0.8951219512195122,0.8946275382210457
13,0.12708079887831464,0.023174337101753484,0.0,0.12708079887831464,0.991818400012686,0.9760479041916168,0.9706501436843517,0.9195121951219513,0.920252411788973,0.9573560767590619,0.9625565108767226,0.9509720586908766,0.9511530221166824,0.9195121951219513,0.920252411788973
